savings
701
661
1540
693
1807
714
1789
762
533
1239
1729
533
1105
1749
906
1243
1758
1107
737
583
1681
1773
1747
779
1553
1
377
1756
1763
836
1759
1524
1763
1723
3547
851
1105
2689
932
1864
568
1540
1786
780
671
1233
1764
536
1271
1064
536
662
2114
1764
906
1178
663
2934
1749
680
1107
1278
1419
1325
1524
1239
671
753
785
1788
1756
460
1419
2107
1787
1244
779
1734
1179
1117
1540
671
779
1132
1764
770
568
536
749
1781
536
662
694
1571
1794
693
663
906
1321
594
2934
1139
756
750
1278
1709
1107
1524
1186
1216
2870
753
704
1279
671
1408
1719
460
1757
1864
701
661
2242
870
1540
787
1807
714
1222
932
533
906
762
1242
533
1753
1758
1681
583
594
1773
1553
759
1105
1756
1491
1107
1729
1145
1699
1759
377
700
750
1105
1
1524
3547
1788
704
701
661
684
1065
1540
694
1807
714
1325
1233
533
906
764
70
533
1726
1729
1758
620
1746
1681
1773
1131
1288
1553
1414
1756
1107
2114
1279
377
1524
719
767
1105
561
1759
3547
1771
579
568
1540
501
1669
671
466
1764
536
1170
1233
662
663
608
1547
906
1723
2934
1139
1344
638
1739
1278
704
833
1107
1161
1524
2870
1549
2281
671
753
1140
1670
460
704
1756
1787
1775
779
568
1540
1797
1957
533
1726
1764
536
1121
733
663
2934
913
779
906
1864
1139
1278
615
1431
1107
1524
1789
1044
671
2240
753
1553
1184
824
460
1787
739
420
1719
756
1756
1734
779
2627
568
1540
762
2631
533
1864
1764
536
1542
1111
663
2934
763
691
906
1100
1278
1107
733
1092
1524
2870
1049
50
671
1589
753
1553
779
1141
460
1787
866
1219
1756
753
1734
1524
1278
1542
568
1540
1776
416
533
1610
1764
536
777
694
2934
663
762
1957
906
1271
1139
1107
1242
741
1524
671
840
1564
753
1350
460
1553
614
1037
1787
1756
1559
1764
1734
1556
2870
423
1320
1129
568
1540
694
762
671
1766
1764
536
1766
1779
662
663
1186
1440
2934
1957
906
1139
872
753
1107
536
741
779
1278
1286
1524
671
1090
1043
753
460
753
1242
1787
1645
1756
1734
1480
1242
701
661
1779
1178
1540
719
1807
714
1242
943
533
906
1300
613
1729
800
533
1758
599
821
1759
1681
1039
1560
1773
1747
1107
1553
1109
998
1756
377
1571
1242
1759
1237
1524
3547
694
851
568
1540
1774
1239
533
1300
1764
536
1674
712
2934
663
1053
177
906
1861
1139
1107
1279
824
1278
1524
1749
816
671
762
753
1787
1246
747
1553
1734
767
2159
2870
2091
1756
423
314
1771
568
1540
1034
1553
533
81
1764
536
1051
1350
2934
663
788
1759
906
1786
1139
1107
1726
811
1278
1524
1418
428
671
1210
753
460
534
980
1787
1719
1038
323
1734
1272
1756
2870
1350
912
568
1540
649
1383
533
1095
1764
536
1721
1408
2934
663
1957
2230
1107
860
906
1139
641
737
1278
1524
2105
1039
671
1756
753
460
1229
764
1787
1553
909
949
1719
350
1734
1524
81
1764
568
1540
1105
1397
671
863
1764
536
1155
989
536
662
1408
816
2934
724
663
1107
1069
977
906
1139
912
1553
1278
1728
1524
671
842
747
753
460
776
1350
1787
1510
1756
1734
751
760
1540
671
1165
1242
568
651
1764
536
2081
1568
536
662
739
846
663
1789
2934
1107
669
793
906
1139
753
1957
1278
451
1524
671
1559
2037
753
460
480
1670
1787
1123
1719
1553
770
1764
568
1540
1242
994
671
2261
1764
536
677
2109
536
662
1049
1957
1107
671
663
2934
1242
616
906
1139
652
1637
1739
1765
1278
1524
1239
476
2870
671
743
752
753
1111
460
1787
917
770
568
1540
2081
480
533
739
1764
536
1789
748
2934
663
669
793
1107
671
906
1139
1181
1559
1739
1278
1164
2156
1524
869
2870
671
1200
1264
753
460
70
1123
1787
833
1553
1719
1764
770
568
1540
1200
1384
671
1729
1764
536
771
1045
536
662
1253
1726
663
1242
2934
1107
1759
1350
906
1139
792
1766
1278
1359
1524
671
784
970
753
460
1242
994
1787
2261
1756
1734
1266
677
701
661
324
720
1540
917
714
533
1386
574
906
533
1017
1055
1739
1626
1758
1759
2200
733
1681
1107
1619
857
1773
1350
1553
1756
594
1250
1759
377
759
1733
1729
1568
1524
3547
608
1400
701
661
615
364
1540
1726
714
533
1759
779
533
906
668
770
1758
2220
1107
1681
1027
637
1773
1553
994
2004
1756
742
1759
1524
1650
1511
3547
1729
1031
1325
2689
739
3547
1787
714
1549
568
1540
1172
581
533
793
536
1107
1764
1440
2934
663
1227
1661
906
712
1139
1278
867
620
1524
671
1774
1149
753
837
460
1787
748
1242
1553
1524
346
1953
1734
2080
1756
2870
1091
1041
568
1540
495
1233
533
1242
1764
1107
1
741
2934
663
797
863
906
1349
1139
1278
1109
836
1524
671
861
946
753
461
460
1787
1039
1554
1553
1524
1957
827
1734
1116
2870
423
1833
759
568
1540
1772
976
671
1527
1764
536
909
753
662
2934
1858
1148
663
653
906
1139
750
1350
1789
536
690
730
1739
2627
671
753
1419
1413
460
1787
1794
662
1524
1816
1553
1734
1300
588
1540
671
841
452
568
770
1764
536
1726
1016
662
2934
844
324
663
537
906
1139
678
1008
1278
1524
1047
1473
671
1281
753
460
1479
2101
1787
1553
60
462
1734
909
1756
2870
674
693
