name,company,price,original_price,discount,offers,url,page,discount_pct,savings,price_band,high_discount
Men Regular Fit Self Design Button Down Collar Casual S...,DIMMY,270,1999,86,Hot Deal,https://www.flipkart.com/dimmy-men-self-design-casual-black-shirt/p/itm6cd998ac9f759?pid=SHTHFK9NUZZGBAA5&lid=LSTSHTHFK9NUZZGBAA55M3F2H&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_11&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LP3NhKZG9DRo2MDPccGxtnAIfWjoKdiCyZpNMIBykgdv_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,86.49,1729,Budget,1
Men Solid Polo Neck Polyester Navy Blue T-Shirt,N AND J,266,799,66,Hot Deal,https://www.flipkart.com/n-j-solid-men-polo-neck-navy-blue-t-shirt/p/itm31cdf23c41b76?pid=TSHGTUHXDZMBYGQG&lid=LSTTSHGTUHXDZMBYGQGVLJFNT&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_12&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LOElk_YGzQ9nVkPVqKN58sWef1KDjagfn3p0zxX2buDG_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,66.71,533,Budget,1
Men Solid Polo Neck Pure Cotton Green T-Shirt,Raymond,594,1699,65,Only 2 left,https://www.flipkart.com/raymond-solid-men-polo-neck-green-t-shirt/p/itmf0622fcc4a2be?pid=TSHHYMQ3A8RVDZEY&lid=LSTTSHHYMQ3A8RVDZEYSPCWBK&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_13&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHHYMQ3A8RVDZEY.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,65.04,1105,Premium,1
Men Regular Fit Solid Spread Collar Casual Shirt,WOXEN,350,2099,83,"Buy 2 items, save extra 5%",https://www.flipkart.com/woxen-men-solid-casual-white-shirt/p/itm422770813eb85?pid=SHTGXAZZCKK4HPPF&lid=LSTSHTGXAZZCKK4HPPFBFG964&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_14&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTGXAZZCKK4HPPF.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,83.33,1749,Budget,1
Men Regular Fit Solid Casual Shirt,Feel high,393,1299,69,Hot Deal,https://www.flipkart.com/feel-high-men-solid-casual-white-black-shirt/p/itm9fd6c341bb8a8?pid=SHTGGC233MB8JANZ&lid=LSTSHTGGC233MB8JANZTNPMQT&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_15&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LP69JE8H5E47f7-nlkbAsEaR72gtLWUO0BoTZCe34l5I_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,69.75,906,Budget,1
Men Printed Round Neck Cotton Blend Maroon T-Shirt,AUSK,256,1499,82,Hot Deal,https://www.flipkart.com/ausk-printed-men-round-neck-maroon-t-shirt/p/itmeefd2656c004c?pid=TSHHEF57PZJZMJYF&lid=LSTTSHHEF57PZJZMJYFDXCQ4S&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHHEF57PZJZMJYF.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,82.92,1243,Budget,1
Men Solid Mandarin Collar Cotton Blend Maroon T-Shirt,TRIPR,241,1999,87,No Offer,https://www.flipkart.com/tripr-solid-men-mandarin-collar-maroon-t-shirt/p/itmf28dbed620b19?pid=TSHHYZ4ZBMUQYUAN&lid=LSTTSHHYZ4ZBMUQYUAN5VXZGG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNFuw5EwemkasKIctN8-9ES4ckQVriKUkZuWffNlAKNM61KaJFgl7OeEdnchgqx4tA%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,87.94,1758,Budget,1
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, ...",FTX,392,1499,73,Hot Deal,https://www.flipkart.com/ftx-solid-men-round-neck-silver-blue-black-grey-t-shirt/p/itm39275afebb5b2?pid=TSHGEMGVQZ2TS6MF&lid=LSTTSHGEMGVQZ2TS6MFIZ62F2&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_18&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LPQqsQOutNGA1_OFPMTYzLnITAaRY8UDxJiqve1zGYjYvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,73.85,1107,Budget,1
Men Regular Fit Solid Button Down Collar Formal Shirt,VeBNoR,262,999,73,Hot Deal,https://www.flipkart.com/vebnor-men-solid-formal-maroon-shirt/p/itm33fe017fa55a6?pid=SHTG6BKFG482ZGTJ&lid=LSTSHTG6BKFG482ZGTJXVXTX8&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_19&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTG6BKFG482ZGTJ.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,73.77,737,Budget,1
Men Regular Fit Solid Spread Collar Formal Shirt,ATTIREVAL,416,999,58,Only few left,https://www.flipkart.com/attireval-men-solid-formal-purple-shirt/p/itm4930370c395e1?pid=SHTHFQ9GSTBUTVGH&lid=LSTSHTHFQ9GSTBUTVGHNLBSSJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_20&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTHFQ9GSTBUTVGH.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,58.36,583,Budget,1
